text,category
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি বমির জন্য ট্যাবলেট ওমিডন ১০ মিলিগ্রাম খাবার আগে খান । ট্যাবলেট ওমেপ্রাজল ২০ মিলিগ্রাম সকালে ও রায়ে একটা করে খাবার আগে খান । ধন্যবাদ ।,nutrition
Daktar bhai ke proshno korar jonno dhonnobad . please consult with ENT specialist . Thanks,doctor
ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । আপনার মায়ের রক্তচাপ রেগুলার পরীক্ষা করবেন । রোগীর কিডনি জনিত কোন সমস্যা আছে কিনা জানান নাই । এজন্য আপাতত ব্যথার ওষুধ দেয়া যাচ্ছে না । আপনি অতি দ্রুত একজন অভিজ্ঞ মেডিসিন বিশেষজ্ঞের পরামর্শ নিন । রোগীর হয়তো ECG করা লাগতে পারে । উনাকে দুশ্চিন্তা করতে নিষেধ করবেন । রোগী কিছু ফ্রি হ্যান্ড এক্সারসাইজ করতে পারেন । ধন্যবাদ,medicine
"ধন্যবাদ আপনাকে প্রশ্ন করার জন্য । সবসময় বেল্ট পড়বেন ঘুম , গোসম ছাড়া । ওষুধ খান ধৈর্য ধরে । ব্যাথা হলে নাপা খাবেন , গরম সেঁক দিবেন । ধন্যবাদ",symptoms
Thanks for your question to daktar Bhai . Please do USG kidney and apply hot water bag . Thanks,doctor
I am suffering from fever last couple ' s of days what should I do,symptoms
"আমার আম্মার কয়েকদিন ধরেই খুব বুকে ব্যাথা । ২ টা কারডিওলজি ডাক্তার দেখালাম কোনো কিছুই ধরতে পারে নি । আজ ২ দিন যাবত নাকি ভিতর থেকে খুব ব্যাথা করে । কোন যায়গা থেকে করে বুঝতে পারে না । খুব খারাপ লাগে । বলে যে কিডনির ভিতর থেকেও নাকি ব্যাথা করে এবং পুরো শরীর ঝাকি দেয় । এখন আমি কোন বিভাগের ডাক্তার দেখাবো ? প্লিজ একটু সাজেস্ট করুন আমাকে । থাইরয়েডের ও সমস্যা আছে । বুকের ইসিজি , আল্ট্রা সব ই করা হয়েছে ১ মাস এর মধ্যে । সব কিছুই নাকি নরমাল ডাক্তার বলেছিলো ।",symptoms
Epistaxis and small polyp in the lower nose,symptoms
"ধন্যবাদ আপনার প্রশ্নের জন্য । না দেখে সমাধান দেয়া যাচ্ছে না । সরাসরি চর্মরোগ বিশেষজ্ঞ দেখিয়ে পরামর্শ নিতে হবে । আপাতত স্যালিসাইলিক এসিড যুক্ত সাবান ব্যবহার করতে পারেন । পানি পান করুন । পর্যাপ্ত ঘুমান । আপনি শাকসব্জি , ফল , আঁশযুক্ত খাবার খাবেন । চা , কফি , গরু , খাসী , মসলাযুক্ত , ভাজাপোড়া কম খাবেন । ধন্যবাদ",nutrition
"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনার সমস্যা এভাবে সমাধান করা সম্ভব না , পরীক্ষা করা লাগবে । একজন Gastroenterologist এর সাথে যোগাযোগ করে পরামর্শ নিন । ধন্যবাদ ।",doctor
আমার বাচ্ছার বয়স ১১ মাস । তার কানে অনেক খইর হয়েছে । অলিভ ওয়েল ব্যবহার করেছি । কিন্তু তেমন কোন ফল পাই নাই । কান পরিষ্কারের জন্য কি কোন ড্রপ ব্যবহার করব ?,nutrition
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি আরো একদিন দেখুন । ভাল না হলে একজন মেডিসিন বিশেষজ্ঞ ডাক্তার কে দেখিয়ে নিন । ধন্যবাদ ।,doctor
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনার সমস্যা জটিল । প্রাথমিক চিকিৎসা তে তা যাবে না । আপনি একজন ভাল মেডিসিন বিশেষজ্ঞ কে দেখান । ধন্যবাদ ।,doctor
ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । আপনার ভাইকে দ্রুত একজন হেমাটোলজিস্ট আর অনকোলজিস্ট ডাক্তারকে দেখান । তাদের পরামর্শ অনুযায়ী চিকিৎসা গ্রহন করুন । ধন্যবাদ ।,doctor
ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । syo . Avolac ৫বছরের নিছে বাচ্ছাদের দেয়া উচিত না । বাচ্চাদের প্রচুর আশযুুক্ত শাক সবজি খাওয়াবেন ।,medicine
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি আপনার স্ত্রীর প্রেগনেন্সির পরীক্ষা করান । বাজারে অনেক স্টীপ পাওয়া যায় যা প্রস্রাবের মাধ্যমে পরীক্ষা করতে হয় । প্রয়োজনে একজন গাইনি চিকিৎসকের পরামর্শ নিন । ধন্যবাদ ।,doctor
This is common in pregnancy . But you must consult with gynaecologist & obstetrician in a hospital . You should take ANC regularly . Thanks,medicine
"গ্রাহক , আপনার বয়স কত ? আপনি কি কাজ করেন ? আমাকে জানাবেন । কোন কিছু মনে রাখতে না পারার প্রধান কারন আপনি যে কাজটি করতে যাচ্ছেন বা করছেন তা মনযোগ দিয়ে না করা । অনেক সময় বয়স বাড়ার সাথে সাথে আমাদের নিউরন নস্ট হয় আর আমাদের মনে রাখার ক্ষমতা কমে যায় , আবার তরুন বয়সেও কিছু রোগের কারনেও এ সমস্যা হতে পারে । আপনি একজন মনরোগ চিকিৎসকের পরামর্শ নিন । ভালো থাকবেন ।",doctor
Thanks for questioning daktarbhai . Apply Nebanol powder 3 times in a day for 5 days . . And always keep that area clean and dry . . thanks,medicine
